,E,rec,sr
0,100, 13.806 , 8.417 
1,200, 10.599 , 3.433 
2,300, 7.106 , 2.648 
3,400, 6.433 , 2.797 
4,500, 5.292 , 3.687 
5,600, 4.800 , 2.771 
6,700, 4.276 , 2.435 
7,800, 4.032 , 2.255 
8,900, 3.685 , 2.381 
9,1000, 4.021 , 1.429 
10,1100, 3.635 , 1.997 
11,1200, 3.277 , 1.378 
12,1300, 2.819 , 1.219 
13,1400, 2.861 , 2.248 
14,1500, 2.919 , 1.149 
15,1600, 2.783 , 1.811 
16,1700, 2.665 , 1.118 
17,1800, 2.473 , 1.728 
18,1900, 2.272 , 1.752 
19,2000, 2.000 , 1.615 
20,2100, 2.220 , 2.272 
21,2200, 2.056 , 1.876 
22,2300, 2.039 , 1.653 
23,2400, 1.781 , 1.245 
24,2500, 1.966 , 1.257 
25,2600, 2.089 , 2.270 
26,2700, 1.861 , 1.778 
27,2800, 1.802 , 1.392 
28,2900, 1.842 , 1.649 
29,3000, 1.753 , 1.744 
30,3100, 1.843 , 2.007 
31,3200, 1.740 , 1.539 
32,3300, 1.725 , 1.486 
33,3400, 1.366 , 1.930 
34,3500, 1.716 , 1.628 
35,3600, 1.609 , 1.847 
36,3700, 1.666 , 1.174 
37,3800, 1.367 , 1.003 
38,3900, 1.400 , 1.023 
39,4000, 1.455 , 0.851 
40,4100, 1.462 , 0.983 
41,4200, 1.520 , 1.377 
42,4300, 1.288 , 0.892 
43,4400, 1.853 , 1.505 
44,4500, 1.425 , 1.315 
45,4600, 1.541 , 1.097 
46,4700, 1.145 , 1.178 
47,4800, 1.276 , 0.613 
48,4900, 1.186 , 1.650 
49,5000, 1.392 , 1.841 
50,5100, 1.403 , 0.742 
51,5200, 1.364 , 0.820 
52,5300, 1.249 , 0.646 
53,5400, 1.170 , 2.228 
54,5500, 1.402 , 1.272 
55,5600, 1.137 , 1.220 
56,5700, 1.465 , 1.601 
57,5800, 1.363 , 1.439 
58,5900, 1.370 , 0.844 
59,6000, 1.234 , 1.378 
74,6100, 1.400 , 1.322 
75,6200, 1.405 , 0.909 
76,6300, 1.002 , 0.784 
77,6400, 1.486 , 0.815 
78,6500, 1.186 , 1.573 
79,6600, 1.258 , 1.174 
80,6700, 1.268 , 1.115 
81,6800, 1.203 , 0.819 
82,6900, 1.156 , 0.858 
83,7000, 1.004 , 0.689 
98,7100, 1.059 , 1.054 
99,7200, 1.117 , 0.750 
100,7300, 1.230 , 0.867 
101,7400, 1.089 , 1.403 
102,7500, 1.194 , 1.235 
103,7600, 1.059 , 1.458 
104,7700, 1.413 , 0.687 
105,7800, 1.261 , 1.097 
106,7900, 1.261 , 1.630 
107,8000, 1.281 , 1.224 
122,8100, 0.952 , 1.719 
123,8200, 1.212 , 1.244 
124,8300, 1.057 , 1.098 
125,8400, 1.087 , 1.295 
126,8500, 1.295 , 0.655 
127,8600, 1.033 , 0.918 
128,8700, 1.212 , 1.332 
129,8800, 1.165 , 0.962 
130,8900, 1.040 , 1.041 
131,9000, 1.341 , 0.919 
146,9100, 0.960 , 1.531 
147,9200, 1.207 , 0.939 
148,9300, 1.060 , 0.930 
149,9400, 1.009 , 0.577 
150,9500, 1.070 , 0.909 
151,9600, 1.015 , 1.103 
152,9700, 1.012 , 1.223 
153,9800, 1.283 , 0.587 
154,9900, 1.095 , 1.255 
155,10000, 0.962 , 1.085 
170,10100, 0.916 , 0.887 
171,10200, 1.001 , 1.012 
172,10300, 0.893 , 0.948 
173,10400, 0.811 , 0.714 
174,10500, 1.207 , 0.923 
175,10600, 1.159 , 1.355 
176,10700, 1.142 , 1.196 
177,10800, 0.933 , 0.984 
178,10900, 1.236 , 0.977 
179,11000, 0.963 , 0.561 
194,11100, 1.252 , 0.856 
195,11200, 0.874 , 1.043 
196,11300, 1.106 , 0.716 
197,11400, 0.931 , 0.756 
198,11500, 0.842 , 0.935 
199,11600, 0.948 , 0.895 
200,11700, 0.945 , 0.428 
201,11800, 1.180 , 1.256 
202,11900, 0.835 , 1.041 
203,12000, 1.089 , 0.966 
218,12100, 0.962 , 0.534 
219,12200, 1.274 , 0.955 
220,12300, 0.892 , 0.645 
221,12400, 0.972 , 0.872 
222,12500, 0.861 , 0.439 
223,12600, 0.995 , 1.422 
224,12700, 1.152 , 0.701 
225,12800, 0.972 , 0.681 
226,12900, 0.963 , 0.430 
227,13000, 1.200 , 1.352 
242,13100, 1.051 , 0.651 
243,13200, 1.000 , 1.107 
244,13300, 1.086 , 0.727 
245,13400, 0.931 , 0.845 
246,13500, 1.242 , 0.784 
247,13600, 1.091 , 0.722 
248,13700, 1.096 , 0.504 
249,13800, 0.814 , 0.672 
250,13900, 1.247 , 1.779 
251,14000, 0.765 , 0.868 
266,14100, 0.936 , 0.408 
267,14200, 0.970 , 0.914 
268,14300, 1.232 , 0.719 
269,14400, 1.462 , 0.786 
270,14500, 0.877 , 0.840 
271,14600, 0.989 , 0.936 
272,14700, 0.912 , 0.565 
273,14800, 1.200 , 0.807 
274,14900, 0.986 , 1.283 
275,15000, 0.997 , 0.546 
290,15100, 1.136 , 0.723 
291,15200, 1.078 , 0.884 
292,15300, 0.996 , 0.376 
293,15400, 0.867 , 1.895 
294,15500, 1.119 , 0.642 
295,15600, 0.911 , 1.209 
296,15700, 0.842 , 0.955 
297,15800, 1.198 , 0.550 
298,15900, 0.937 , 0.784 
299,16000, 0.872 , 0.658 
314,16100, 0.908 , 0.635 
315,16200, 1.087 , 0.649 
316,16300, 0.782 , 0.461 
317,16400, 1.007 , 0.959 
318,16500, 0.957 , 0.485 
319,16600, 0.945 , 0.803 
320,16700, 1.035 , 0.477 
321,16800, 1.241 , 0.633 
322,16900, 0.988 , 0.396 
323,17000, 1.135 , 0.434 
338,17100, 0.994 , 0.493 
339,17200, 0.837 , 0.515 
340,17300, 1.002 , 0.531 
341,17400, 0.908 , 0.480 
342,17500, 1.019 , 0.373 
343,17600, 0.880 , 0.414 
344,17700, 0.731 , 0.402 
345,17800, 1.263 , 0.542 
346,17900, 1.020 , 0.404 
347,18000, 0.987 , 0.408 
362,18100, 1.213 , 1.191 
363,18200, 0.751 , 0.762 
364,18300, 0.972 , 0.967 
365,18400, 1.030 , 0.665 
366,18500, 0.855 , 0.476 
367,18600, 0.939 , 0.655 
368,18700, 0.829 , 0.846 
369,18800, 1.025 , 0.431 
370,18900, 0.820 , 0.905 
371,19000, 0.958 , 0.871 
386,19100, 1.123 , 0.844 
387,19200, 1.324 , 0.739 
388,19300, 0.797 , 0.454 
389,19400, 0.828 , 0.377 
390,19500, 0.808 , 0.399 
391,19600, 1.012 , 0.810 
392,19700, 0.974 , 0.434 
393,19800, 0.944 , 1.050 
394,19900, 1.094 , 0.543 
395,20000, 0.911 , 0.738 
410,20100, 0.895 , 0.875 
411,20200, 0.909 , 0.840 
412,20300, 0.933 , 0.439 
413,20400, 0.785 , 0.679 
414,20500, 0.755 , 0.648 
415,20600, 0.979 , 0.549 
416,20700, 0.819 , 0.845 
417,20800, 1.137 , 0.454 
418,20900, 1.061 , 0.867 
419,21000, 0.738 , 1.015 
434,21100, 1.047 , 1.026 
435,21200, 0.767 , 0.392 
436,21300, 0.849 , 0.485 
437,21400, 0.792 , 0.645 
438,21500, 0.728 , 0.846 
439,21600, 1.059 , 0.518 
440,21700, 0.780 , 0.420 
441,21800, 1.071 , 0.592 
442,21900, 0.917 , 1.089 
443,22000, 0.934 , 0.343 
458,22100, 0.820 , 0.513 
459,22200, 0.950 , 0.357 
460,22300, 1.025 , 0.940 
461,22400, 0.889 , 0.348 
462,22500, 1.123 , 0.587 
463,22600, 1.042 , 0.925 
464,22700, 1.145 , 0.908 
465,22800, 0.814 , 0.899 
466,22900, 0.735 , 0.681 
467,23000, 0.702 , 0.368 
482,23100, 1.215 , 0.940 
483,23200, 0.761 , 0.663 
484,23300, 0.876 , 0.601 
485,23400, 1.152 , 0.547 
486,23500, 0.869 , 0.518 
487,23600, 0.892 , 0.571 
488,23700, 0.840 , 0.633 
489,23800, 1.214 , 0.349 
490,23900, 1.053 , 0.519 
491,24000, 0.942 , 0.373 
506,24100, 1.257 , 1.252 
507,24200, 0.858 , 0.546 
508,24300, 0.841 , 0.335 
509,24400, 0.964 , 1.003 
510,24500, 0.877 , 0.718 
511,24600, 0.814 , 0.521 
512,24700, 0.742 , 0.816 
513,24800, 0.951 , 0.572 
514,24900, 0.971 , 0.692 
515,25000, 0.753 , 0.392 
530,25100, 0.820 , 0.970 
531,25200, 0.903 , 0.744 
532,25300, 0.754 , 0.707 
533,25400, 1.029 , 0.485 
534,25500, 0.897 , 0.670 
535,25600, 0.824 , 0.635 
536,25700, 0.774 , 0.609 
537,25800, 0.792 , 0.590 
538,25900, 0.732 , 0.420 
539,26000, 0.731 , 0.414 
554,26100, 1.012 , 0.952 
555,26200, 0.721 , 0.898 
556,26300, 0.748 , 1.039 
557,26400, 0.683 , 0.538 
558,26500, 0.867 , 0.591 
559,26600, 0.687 , 0.351 
560,26700, 0.862 , 0.573 
561,26800, 0.870 , 0.603 
562,26900, 0.807 , 0.429 
563,27000, 0.665 , 0.305 
578,27100, 0.929 , 0.769 
579,27200, 0.881 , 0.437 
580,27300, 0.696 , 0.435 
581,27400, 0.977 , 0.727 
582,27500, 0.922 , 0.385 
583,27600, 0.745 , 0.834 
584,27700, 1.022 , 0.526 
585,27800, 1.084 , 0.491 
586,27900, 0.904 , 0.478 
587,28000, 0.911 , 0.265 
602,28100, 0.952 , 0.877 
603,28200, 0.751 , 0.758 
604,28300, 0.676 , 0.819 
605,28400, 0.993 , 0.718 
606,28500, 0.952 , 0.749 
607,28600, 0.817 , 0.627 
608,28700, 0.801 , 0.414 
609,28800, 0.727 , 0.379 
610,28900, 0.758 , 0.382 
611,29000, 0.750 , 0.410 
626,29100, 0.762 , 0.997 
627,29200, 0.866 , 0.302 
628,29300, 0.722 , 0.836 
629,29400, 0.846 , 0.842 
630,29500, 0.688 , 0.799 
631,29600, 0.926 , 0.863 
632,29700, 0.706 , 0.289 
633,29800, 0.900 , 0.420 
634,29900, 0.832 , 0.704 
635,30000, 1.043 , 0.759 
650,30100, 0.977 , 0.435 
651,30200, 0.707 , 0.597 
652,30300, 0.860 , 0.613 
653,30400, 0.743 , 0.725 
654,30500, 0.721 , 0.742 
655,30600, 0.962 , 0.708 
656,30700, 1.013 , 0.646 
657,30800, 0.911 , 0.893 
658,30900, 0.961 , 0.634 
659,31000, 0.981 , 0.540 
674,31100, 0.833 , 0.306 
675,31200, 0.709 , 0.775 
676,31300, 0.757 , 0.788 
677,31400, 0.714 , 0.809 
678,31500, 0.818 , 0.466 
679,31600, 0.730 , 0.505 
680,31700, 0.945 , 0.483 
681,31800, 1.011 , 0.759 
682,31900, 0.751 , 0.542 
683,32000, 0.865 , 0.654 
698,32100, 0.706 , 0.639 
699,32200, 0.742 , 0.745 
700,32300, 0.896 , 0.764 
701,32400, 0.657 , 0.462 
702,32500, 0.856 , 0.382 
703,32600, 0.794 , 0.691 
704,32700, 0.866 , 0.392 
705,32800, 1.012 , 0.460 
706,32900, 0.596 , 0.517 
707,33000, 0.856 , 0.250 
722,33100, 0.868 , 1.045 
723,33200, 0.906 , 0.825 
724,33300, 0.886 , 0.523 
725,33400, 0.837 , 0.690 
726,33500, 0.893 , 0.652 
727,33600, 0.961 , 0.381 
728,33700, 1.001 , 0.474 
729,33800, 0.785 , 0.499 
730,33900, 0.843 , 0.417 
731,34000, 0.893 , 0.395 
746,34100, 0.735 , 0.351 
747,34200, 0.825 , 0.335 
748,34300, 0.874 , 0.480 
749,34400, 0.868 , 0.252 
750,34500, 0.864 , 0.638 
751,34600, 0.695 , 0.276 
752,34700, 0.733 , 0.260 
753,34800, 0.929 , 0.395 
754,34900, 0.931 , 0.397 
755,35000, 0.791 , 0.646 
770,35100, 0.828 , 0.555 
771,35200, 0.833 , 0.629 
772,35300, 0.547 , 0.533 
773,35400, 0.860 , 0.584 
774,35500, 0.962 , 0.501 
775,35600, 1.029 , 0.794 
776,35700, 0.959 , 0.723 
777,35800, 1.214 , 0.632 
778,35900, 0.721 , 0.763 
779,36000, 0.813 , 0.720 
794,36100, 0.836 , 0.699 
795,36200, 1.002 , 0.433 
796,36300, 0.688 , 0.679 
797,36400, 0.878 , 0.589 
798,36500, 0.982 , 0.397 
799,36600, 0.801 , 0.784 
800,36700, 0.849 , 0.663 
801,36800, 0.779 , 0.670 
802,36900, 0.855 , 0.689 
803,37000, 0.908 , 0.617 
818,37100, 0.755 , 0.394 
819,37200, 0.917 , 0.404 
820,37300, 0.917 , 0.705 
821,37400, 0.777 , 0.747 
822,37500, 0.787 , 0.721 
823,37600, 0.891 , 0.686 
824,37700, 1.167 , 0.638 
825,37800, 0.912 , 0.341 
826,37900, 0.797 , 0.543 
827,38000, 0.987 , 0.339 
842,38100, 0.748 , 0.467 
843,38200, 0.893 , 0.385 
844,38300, 0.825 , 0.470 
845,38400, 0.743 , 0.713 
846,38500, 0.644 , 0.647 
847,38600, 0.936 , 0.634 
848,38700, 0.948 , 0.228 
849,38800, 0.721 , 0.816 
850,38900, 0.867 , 0.595 
851,39000, 0.768 , 0.587 
866,39100, 1.021 , 0.570 
867,39200, 0.954 , 0.743 
868,39300, 0.959 , 0.419 
869,39400, 0.821 , 0.729 
870,39500, 0.884 , 0.573 
871,39600, 0.584 , 0.638 
872,39700, 0.956 , 0.661 
873,39800, 0.771 , 0.658 
874,39900, 1.018 , 0.609 
875,40000, 0.763 , 0.602 
890,40100, 0.791 , 0.524 
891,40200, 0.929 , 0.484 
892,40300, 0.743 , 0.661 
893,40400, 0.892 , 0.702 
894,40500, 0.735 , 0.772 
895,40600, 0.827 , 0.414 
896,40700, 0.773 , 0.559 
897,40800, 0.795 , 0.417 
898,40900, 0.830 , 0.697 
899,41000, 0.823 , 0.564 
914,41100, 0.800 , 0.391 
915,41200, 0.690 , 0.630 
916,41300, 0.707 , 0.637 
917,41400, 0.816 , 0.474 
918,41500, 1.009 , 0.449 
919,41600, 0.882 , 0.752 
920,41700, 0.880 , 0.367 
921,41800, 0.969 , 0.648 
922,41900, 0.898 , 0.697 
923,42000, 0.822 , 0.656 
938,42100, 0.713 , 0.699 
939,42200, 0.820 , 0.387 
940,42300, 0.938 , 0.396 
941,42400, 0.742 , 0.555 
942,42500, 0.733 , 0.571 
943,42600, 0.909 , 0.588 
944,42700, 0.931 , 0.508 
945,42800, 0.967 , 0.577 
946,42900, 0.793 , 0.506 
947,43000, 0.791 , 0.521 
962,43100, 0.866 , 0.571 
963,43200, 0.737 , 0.636 
964,43300, 0.856 , 0.515 
965,43400, 0.757 , 0.306 
966,43500, 0.767 , 0.541 
967,43600, 1.023 , 0.407 
968,43700, 0.755 , 0.384 
969,43800, 0.938 , 0.350 
970,43900, 0.917 , 0.437 
971,44000, 0.775 , 0.394 
986,44100, 0.724 , 0.388 
987,44200, 0.852 , 0.459 
988,44300, 0.758 , 0.553 
989,44400, 0.755 , 0.609 
990,44500, 0.903 , 0.660 
991,44600, 0.944 , 0.431 
992,44700, 0.762 , 0.480 
993,44800, 0.824 , 0.394 
994,44900, 0.537 , 0.370 
995,45000, 0.866 , 0.553 
1010,45100, 0.575 , 0.573 
1011,45200, 0.767 , 0.506 
1012,45300, 0.678 , 0.346 
1013,45400, 0.990 , 0.439 
1014,45500, 0.715 , 0.358 
1015,45600, 1.010 , 0.505 
1016,45700, 0.772 , 0.682 
1017,45800, 0.979 , 0.596 
1018,45900, 0.647 , 0.670 
1019,46000, 0.700 , 0.543 
1034,46100, 0.793 , 0.671 
1035,46200, 0.642 , 0.637 
1036,46300, 0.719 , 0.378 
1037,46400, 1.051 , 0.415 
1038,46500, 0.688 , 0.347 
1039,46600, 0.785 , 0.599 
1040,46700, 0.672 , 0.470 
1041,46800, 0.859 , 0.615 
1042,46900, 0.768 , 0.650 
1043,47000, 0.916 , 0.259 
1058,47100, 0.778 , 0.458 
1059,47200, 0.859 , 0.388 
1060,47300, 0.744 , 0.319 
1061,47400, 0.999 , 0.319 
1062,47500, 0.824 , 0.323 
1063,47600, 0.865 , 0.337 
1064,47700, 1.039 , 0.371 
1065,47800, 0.692 , 0.832 
1066,47900, 0.655 , 0.707 
1067,48000, 0.887 , 0.503 
1082,48100, 0.896 , 0.478 
1083,48200, 0.665 , 0.482 
1084,48300, 0.942 , 0.581 
1085,48400, 0.752 , 0.470 
1086,48500, 0.692 , 0.511 
1087,48600, 0.757 , 0.547 
1088,48700, 0.922 , 0.317 
1089,48800, 0.900 , 0.922 
1090,48900, 0.918 , 0.443 
1091,49000, 0.738 , 0.500 
1106,49100, 0.779 , 0.379 
1107,49200, 1.045 , 0.386 
1108,49300, 0.847 , 0.356 
1109,49400, 0.781 , 0.380 
1110,49500, 0.998 , 0.691 
1111,49600, 0.876 , 0.869 
1112,49700, 0.881 , 0.344 
1113,49800, 0.892 , 0.398 
1114,49900, 0.680 , 0.373 
1115,50000, 0.909 , 0.347 
1130,50100, 0.861 , 0.392 
1131,50200, 0.743 , 0.253 
1132,50300, 0.672 , 0.209 
1133,50400, 0.757 , 0.825 
1134,50500, 0.913 , 0.433 
1135,50600, 0.839 , 0.408 
1136,50700, 0.906 , 0.423 
1137,50800, 0.864 , 0.355 
1138,50900, 0.719 , 0.363 
1139,51000, 0.775 , 0.331 
1154,51100, 0.713 , 0.214 
1155,51200, 0.921 , 0.487 
1156,51300, 0.993 , 0.608 
1157,51400, 0.771 , 0.292 
1158,51500, 0.708 , 0.595 
1159,51600, 1.094 , 0.657 
1160,51700, 0.769 , 0.368 
1161,51800, 0.713 , 0.360 
1162,51900, 0.866 , 0.448 
1163,52000, 1.049 , 0.535 
1178,52100, 0.761 , 0.491 
1179,52200, 0.830 , 0.383 
1180,52300, 0.761 , 0.463 
1181,52400, 0.638 , 0.442 
1182,52500, 0.918 , 0.501 
1183,52600, 0.899 , 0.518 
1184,52700, 0.767 , 0.382 
1185,52800, 0.719 , 0.288 
1186,52900, 0.821 , 0.371 
1187,53000, 0.724 , 0.510 
1202,53100, 0.789 , 0.609 
1203,53200, 0.645 , 0.662 
1204,53300, 0.940 , 0.530 
1205,53400, 0.875 , 0.601 
1206,53500, 0.694 , 0.390 
1207,53600, 1.059 , 0.441 
1208,53700, 0.769 , 0.356 
1209,53800, 0.882 , 0.570 
1210,53900, 0.555 , 0.465 
1211,54000, 0.742 , 0.460 
1226,54100, 0.717 , 0.340 
1227,54200, 0.648 , 0.526 
1228,54300, 0.754 , 0.446 
1229,54400, 0.948 , 0.574 
1230,54500, 0.712 , 0.519 
1231,54600, 0.804 , 0.569 
1232,54700, 0.802 , 0.541 
1233,54800, 0.769 , 0.543 
1234,54900, 0.666 , 0.290 
1235,55000, 0.682 , 0.580 
1250,55100, 0.756 , 0.606 
1251,55200, 0.781 , 0.558 
1252,55300, 1.026 , 0.474 
1253,55400, 0.818 , 0.427 
1254,55500, 0.890 , 0.297 
1255,55600, 0.998 , 0.440 
1256,55700, 0.685 , 0.531 
1257,55800, 0.708 , 0.342 
1258,55900, 0.816 , 0.430 
1259,56000, 0.740 , 0.388 
1274,56100, 0.748 , 0.339 
1275,56200, 0.932 , 0.427 
1276,56300, 0.701 , 0.317 
1277,56400, 0.667 , 0.539 
1278,56500, 0.884 , 0.627 
1279,56600, 0.777 , 0.586 
1280,56700, 0.818 , 0.333 
